Date,Data
03-01-2024,60.34
03-01-2023,60.94
03-01-2022,60.95
03-01-2021,61.10
03-01-2020,60.91
03-01-2019,59.29
03-01-2018,58.73
03-01-2017,59.30
03-01-2016,59.01
03-01-2015,58.13
03-01-2014,57.65
03-01-2013,56.46
03-01-2012,56.21
03-01-2011,54.72
03-01-2010,55.96
03-01-2009,56.68
03-01-2008,55.76
03-01-2007,56.11
03-01-2006,57.38
03-01-2005,58.35
03-01-2004,61.50
03-01-2003,63.03
03-01-2002,64.15
03-01-2001,63.74
03-01-2000,64.01
03-01-1999,63.81
03-01-1998,63.91
03-01-1997,64.56
